,subj,pred,obj
331,Insulin resistance,same,Wiedemann-Rautenstrauch syndrome; Progeroid syndrome neonatal; Wiedemann Rautenstrauch syndrome
332,Lipodystrophy,same,Wiedemann-Rautenstrauch syndrome; Progeroid syndrome neonatal; Wiedemann Rautenstrauch syndrome
333,Microdontia,same,NB
334,Midface retrusion,same,NB
335,Neurological speech impairment,same,Palpebral coloboma lipoma Syndrome
336,Poor appetite,same,Palpebral coloboma lipoma Syndrome
337,Weight loss,same,NARP syndrome; NARP
338,Abnormal anterior chamber morphology,same,NSX
339,Abnormality of the mandible,same,Richieri Costa-da Silva syndrome; Myotonia-intellectual disability-skeletal anomalies syndrome
340,Malar flattening,same,Thomsen and Becker disease
341,Posterior embryotoxon,same,Thomsen and Becker disease
342,Prominent forehead,same,"Myopathy, tubular aggregate"
343,Prominent supraorbital ridges,same,"Scapuloperoneal myopathy, MYH7-related; MYH7-related late-onset scapuloperoneal syndrome; MYH7-related late-onset SPMD;"
344,Telecanthus,same,Refractory anemia with excess blasts; RAEB
345,Triangular face,same,Refractory anemia with excess blasts; RAEB
346,Abnormality of the immune system,same,Refractory anemia with excess blasts; RAEB
347,Abnormality of the skin,same,
348,Birth length less than 3rd percentile,same,
349,Cataract,same,
350,Delayed skeletal maturation,same,Mutilating palmoplantar keratoderma with periorificial keratotic plaques
351,Delayed speech and language development,same,"OPMD; Muscular dystrophy, oculopharyngeal"
352,Dental malocclusion,same,Mulvihill-Smith syndrome
353,Dimple chin,same,Mulvihill-Smith syndrome
354,Downturned corners of mouth,same,
355,Enlarged epiphyses,same,
356,Frontal bossing,same,"Mullerian derivatives, persistence of, with lymphangiectasia and postaxial polydactyly; Urioste syndrome; Renal and craniofacial anomalies with persistence of mullerian derivatives, lymphangiectasis, hepatic failure, postaxial polydactyly"
357,Hyperglycemia,same,Muscle-liver-brain-eye nanism; Pericardial constriction and growth failure; Perheentupa syndrome
358,Insulin-resistant diabetes mellitus,same,Muenke nonsyndromic coronal craniosynostosis; Syndrome of coronal craniosynostosis
359,Joint laxity,same,Syndactyly mesoaxial synostotic with phalangeal reduction; MSSD; Syndactyly Malik-Percin type
360,Lipoatrophy,same,MSA; Shy-Drager syndrome (formerly)
361,Macrotia,same,MSA; Shy-Drager syndrome (formerly)
362,Myopia,same,WTS; MRXS6; X-linked intellectual disability - gynecomastia - obesity;
363,Premature skin wrinkling,same,Sutherland-Haan X-linked intellectual disability syndrome; X-linked intellectual disability with spastic diplegia; MRXS3;
364,Rieger anomaly,same,Sutherland-Haan X-linked intellectual disability syndrome; X-linked intellectual disability with spastic diplegia; MRXS3;
365,Small for gestational age,same,PRS; MRXS2; Prieto syndrome;
366,Thin skin,same,PRS; MRXS2; Prieto syndrome;
367,Underdeveloped nasal alae,same,MRCLS; Myxoid/round cell liposarcoma; Myxoliposarcoma
368,Elevated red cell adenosine deaminase level,same,Mucopoly-saccharidosis type 3; Sanfilippo syndrome; MPSIII;
369,Pure red cell aplasia,same,Moyamoya syndrome; Spontaneous occlusion of the circle of Willis; MYMY
370,Erythroid hypoplasia,same,MVA syndrome; Warburton-Anyane-Yeboa syndrome
371,Increased mean corpuscular volume,same,MVA syndrome; Warburton-Anyane-Yeboa syndrome
372,Lethargy,same,Mosaic trisomy chromosome 9; Trisomy 9 mosaicism
373,Macrocytic dyserythropoietic anemia,same,Mosaic trisomy chromosome 9; Trisomy 9 mosaicism
374,Pallor,same,Mucopolysaccharidosis type IVB; MPS IVB; MPS 4B
375,Persistence of hemoglobin F,same,Proximal 18q deletion syndrome; Proximal 18q-; Monosomy 18q syndrome;
376,Reticulocytopenia,same,"Torg-Winchester Syndrome; Torg Syndrome; Nodulosis-Arthropathy-Osteolysis Syndrome,;"
377,Abnormality of the thenar eminence,same,"Torg-Winchester Syndrome; Torg Syndrome; Nodulosis-Arthropathy-Osteolysis Syndrome,;"
378,Absent thumb,same,"Torg-Winchester Syndrome; Torg Syndrome; Nodulosis-Arthropathy-Osteolysis Syndrome,;"
379,Atrial septal defect,same,"Torg-Winchester Syndrome; Torg Syndrome; Nodulosis-Arthropathy-Osteolysis Syndrome,;"
380,Cleft lip,same,"Torg-Winchester Syndrome; Torg Syndrome; Nodulosis-Arthropathy-Osteolysis Syndrome,;"
381,Cleft soft palate,same,"Torg-Winchester Syndrome; Torg Syndrome; Nodulosis-Arthropathy-Osteolysis Syndrome,;"
382,Horseshoe kidney,same,"Torg-Winchester Syndrome; Torg Syndrome; Nodulosis-Arthropathy-Osteolysis Syndrome,;"
383,Leukopenia,same,OFD2; OFD syndrome 2; Oral-facial-digital syndrome type 2;
384,Myelodysplasia,same,OFD2; OFD syndrome 2; Oral-facial-digital syndrome type 2;
385,Neurodevelopmental delay,same,OFD2; OFD syndrome 2; Oral-facial-digital syndrome type 2;
386,Normochromic anemia,same,OFD2; OFD syndrome 2; Oral-facial-digital syndrome type 2;
387,Partial duplication of thumb phalanx,same,OFD2; OFD syndrome 2; Oral-facial-digital syndrome type 2;
388,Radial artery aplasia,same,Stiff man syndrome; Morsch Woltman syndrome; SPS;
389,Renal agenesis,same,Stiff man syndrome; Morsch Woltman syndrome; SPS;
390,Short thumb,same,Stiff man syndrome; Morsch Woltman syndrome; SPS;
391,Sprengel anomaly,same,Stiff man syndrome; Morsch Woltman syndrome; SPS;
392,Triphalangeal thumb,same,ML3; ML 3 A; Pseudo-Hurler polydystrophy;
393,Webbed neck,same,"Muscular dystrophy, distal, late onset, autosomal recessive; MM; Miyoshi distal myopathy"
394,Acute myeloid leukemia,same,TFP deficiency
395,Coarctation of aorta,same,MNGIE; Myoneurogastrointestinal encephalopathy syndrome; MNGIE syndrome;
396,Depressed nasal bridge,same,"Myopathy with lactic acidosis and sideroblastic anemia; MLASA; Myopathy, lactic acidosis and sideroblastic anemia;"
397,Developmental cataract,same,"SEMD Missouri type; Missouri type of spondyloepimetaphyseal dysplasia; SEMD, Missouri type;"
398,Developmental glaucoma,same,"SEMD Missouri type; Missouri type of spondyloepimetaphyseal dysplasia; SEMD, Missouri type;"
399,Low anterior hairline,same,"SEMD Missouri type; Missouri type of spondyloepimetaphyseal dysplasia; SEMD, Missouri type;"
400,Malignant genitourinary tract tumor,same,Multicore myopathy with external ophthalmoplegia; Multiminicore disease with external ophthalmoplegia
401,Neutropenia,same,Multicore myopathy with external ophthalmoplegia; Multiminicore disease with external ophthalmoplegia
402,Nonimmune hydrops fetalis,same,Multicore myopathy with external ophthalmoplegia; Multiminicore disease with external ophthalmoplegia
403,Osteosarcoma,same,Multicore myopathy with external ophthalmoplegia; Multiminicore disease with external ophthalmoplegia
404,Thrombocytosis,same,
405,Abnormality of the hip bone,same,"Microphthalmos, microcornea, and sclerocornea with short stature and hair and dental abnormalities"
406,Abnormality of the pinna,same,OMOD1; Omodysplasia generalized form; Omodysplasia autosomal recessive;
407,Dandy-Walker malformation,same,OMOD1; Omodysplasia generalized form; Omodysplasia autosomal recessive;
408,Joint stiffness,same,Orofaciodigital syndrome type 14; Microcephaly-cerebral malformation-orofaciodigital syndrome; Oral-facial-digital syndrome type 14;
409,Multiple joint contractures,same,Orofaciodigital syndrome type 14; Microcephaly-cerebral malformation-orofaciodigital syndrome; Oral-facial-digital syndrome type 14;
410,Trismus,same,Orofaciodigital syndrome type 14; Microcephaly-cerebral malformation-orofaciodigital syndrome; Oral-facial-digital syndrome type 14;
411,Aplasia/Hypoplasia of the radius,same,Microcephaly hypogammaglobulinemia abnormal immunity; Microcephaly with chemotactic defect and transient hypogammaglobulinemia
412,Talipes equinovarus,same,Microcephaly hypogammaglobulinemia abnormal immunity; Microcephaly with chemotactic defect and transient hypogammaglobulinemia
413,Neoplasm,same,Microcephaly hypogammaglobulinemia abnormal immunity; Microcephaly with chemotactic defect and transient hypogammaglobulinemia
414,Slender finger,same,
415,Congenital neuroblastoma,same,
416,Death in infancy,same,"Microcephaly, short stature, brachydactyly type D, flattened occiput, low-set large ears, prominent nose, kyphoscoliosis and intellectual disability; Microcephaly brachydactyly kyphoscoliosis"
417,Flexion contracture,same,MGS; Visceral neuromyopathy familial with pseudoobstruction megaduodenum barrett esophagus and cardiac abnormalities; Pseudoobstruction chronic idiopathic intestinal with barrett esophagus and cardiac abnormalities
418,Hydrocephalus,same,"Metatropic dwarfism; Metatropic dysplasia, nonlethal dominant"
419,Open mouth,same,"Metatropic dwarfism; Metatropic dysplasia, nonlethal dominant"
420,Ascending aortic dissection,same,"Metatropic dwarfism; Metatropic dysplasia, nonlethal dominant"
421,Stroke,same,"Metatropic dwarfism; Metatropic dysplasia, nonlethal dominant"
422,Abnormal iris pigmentation,same,"Metatropic dwarfism; Metatropic dysplasia, nonlethal dominant"
423,Abnormal left ventricular function,same,"Metatropic dwarfism; Metatropic dysplasia, nonlethal dominant"
424,Aortic aneurysm,same,"Metatropic dwarfism; Metatropic dysplasia, nonlethal dominant"
425,Aortic regurgitation,same,
426,Bicuspid aortic valve,same,METCDS
427,Cystic medial necrosis,same,"Metabolic myopathy associated with chronic lactic acidemia, growth failure, and nerve deafness"
428,Areflexia,same,Mesomelic dysplasia with absent fibulas and triangular tibias; Triangular tibia and fibular aplasia
429,Cerebellar atrophy,same,Mesomelic dysplasia with absent fibulas and triangular tibias; Triangular tibia and fibular aplasia
430,Distal sensory impairment,same,Reardon-Hall-Slaney syndrome; Mesomelic limb shortening and bowing
431,Dysmetria,same,"Merten-Singleton syndrome; SM syndrome; Widened medullary cavities of bone, aortic calcification, abnormal dentition, and muscular weakness;"
432,Frequent falls,same,"Merten-Singleton syndrome; SM syndrome; Widened medullary cavities of bone, aortic calcification, abnormal dentition, and muscular weakness;"
433,Nystagmus,same,"Merten-Singleton syndrome; SM syndrome; Widened medullary cavities of bone, aortic calcification, abnormal dentition, and muscular weakness;"
434,Oculomotor apraxia,same,"Merten-Singleton syndrome; SM syndrome; Widened medullary cavities of bone, aortic calcification, abnormal dentition, and muscular weakness;"
435,Polyneuropathy,same,"Merten-Singleton syndrome; SM syndrome; Widened medullary cavities of bone, aortic calcification, abnormal dentition, and muscular weakness;"
436,Slow saccadic eye movements,same,"Merten-Singleton syndrome; SM syndrome; Widened medullary cavities of bone, aortic calcification, abnormal dentition, and muscular weakness;"
437,Dysphasia,same,"Mental deficiency, choroideremia, acrokeratosis verruciformis,anhidrosis, skeletal deformity"
438,Frontotemporal cerebral atrophy,same,"Mental deficiency, choroideremia, acrokeratosis verruciformis,anhidrosis, skeletal deformity"
439,Frontotemporal dementia,same,
440,Grammar-specific speech disorder,same,
441,Memory impairment,same,
442,Spoken Word Recognition Deficit,same,
443,Temporal cortical atrophy,same,
444,Thickened nuchal skin fold,same,
445,Abnormal brain FDG positron emission tomography,same,
446,Abnormality of the cerebral white matter,same,
447,Alexia,same,
448,Anxiety,same,Van der Hoeve Halbertsma Waardenburg Gualdi Syndrome; Mende Syndrome
449,Apraxia,same,Van der Hoeve Halbertsma Waardenburg Gualdi Syndrome; Mende Syndrome
450,Depressivity,same,MEN2
451,EEG with continuous slow activity,same,MEN2
452,Abnormal lower motor neuron morphology,same,MEN2
453,Astrocytosis,same,"MEN 2B; Mucosal neuroma syndrome; Multiple endocrine neoplasia, type 3 (formerly);"
454,Dysgraphia,same,Sipple syndrome; MEN 2A; MEN-2A syndrome;
455,Motor aphasia,same,Sipple syndrome; MEN 2A; MEN-2A syndrome;
456,Mutism,same,Sipple syndrome; MEN 2A; MEN-2A syndrome;
457,Parkinsonism,same,Primary membranoproliferative glomerulonephritis; MPGN; Mesangiocapillary glomerulonephritis
458,Perseveration,same,MSBD syndrome; Mixed sclerosing bone dystrophy
459,Personality changes,same,Melnick-Needles osteodysplasty; MNS; Osteodysplasty of Melnick and Needles
460,Restlessness,same,MELAS; MELAS syndrome
461,Senile plaques,same,Thiamine-responsive anemia syndrome; TRMA; Megaloblastic anemia thiamine-responsive with diabetes mellitus and sensorineural deafness;
462,Abdominal aortic aneurysm,same,MEB; Muscle-eye-brain disease; Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A3
463,Chemodectoma,same,MEB; Muscle-eye-brain disease; Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A3
464,Cutaneous angiolipomas,same,MEB; Muscle-eye-brain disease; Muscular dystrophy-dystroglycanopathy congenital with brain and eye anomalies A3
465,Retroperitoneal chemodectomas,same,Postpartum cardiomyopathy; Meadows' syndrome
466,Aplasia of the abdominal wall musculature,same,Postpartum cardiomyopathy; Meadows' syndrome
467,Aplasia/Hypoplasia of the lungs,same,Miller-Dieker lissencephaly syndrome; MDLS
468,Congenital posterior urethral valve,same,Miller-Dieker lissencephaly syndrome; MDLS
469,Decreased fertility,same,MDB
470,Hydroureter,same,MCOPS10; Microphthalmia and brain atrophy; MOBA
471,Neoplasm of the thymus,same,Spahr type Metaphyseal chondrodysplasia; MCDS
472,Vesicoureteral reflux,same,MCDS
473,Abnormality of the ribs,same,MCDS
474,Chest pain,same,MCDS
475,Cough,same,MCDS
476,Diaphragmatic paralysis,same,MCDS
477,Dysgammaglobulinemia,same,MCDS
478,Immunodeficiency,same,MCDS
479,Mediastinal lymphadenopathy,same,MCDS
480,Multicystic kidney dysplasia,same,MCDS
481,Oligohydramnios,same,MCDS
482,Palpebral edema,same,MCDS
483,Recurrent respiratory infections,same,MAT deficiency
484,Recurrent urinary tract infections,same,MAS
485,Renal insufficiency,same,MAS
486,Abnormal bleeding,same,MAS
487,Abnormality of the uterus,same,
488,Cardiac arrest,same,
489,Congenital hip dislocation,same,
490,Dysphagia,same,
491,Fatigable weakness,same,
492,Headache,same,
493,Increased intracranial pressure,same,PNH; Marchiafava-Micheli disease
494,Intestinal atresia,same,5q deletion syndrome; Refractory macrocytic anemia due to 5q deletion; MAR;
495,Intestinal malrotation,same,5q deletion syndrome; Refractory macrocytic anemia due to 5q deletion; MAR;
496,Language impairment,same,5q deletion syndrome; Refractory macrocytic anemia due to 5q deletion; MAR;
497,Neuroendocrine neoplasm,same,MBL deficiency; Mannose-binding protein deficiency
498,Pericarditis,same,MBL deficiency; Mannose-binding protein deficiency
499,Urogenital sinus anomaly,same,Treacher Collins-Franceschetti syndrome; Mandibulofacial dysostosis; TCOF;
500,Vertebral segmentation defect,same,Malonic aciduria; Malonicaciduria; Malonic acidemia;
501,Volvulus,same,Malonic aciduria; Malonicaciduria; Malonic acidemia;
502,Abnormal heart morphology,same,
503,Hydronephrosis,same,
504,Prune belly,same,Malacoplakia
505,Xerostomia,same,SRPS type 2; Short rib-polydactyly syndrome type II; Majewski syndrome;
506,Abdominal obesity,same,SRPS type 2; Short rib-polydactyly syndrome type II; Majewski syndrome;
507,Hypertension,same,SRPS type 2; Short rib-polydactyly syndrome type II; Majewski syndrome;
508,Central hypoventilation,same,MOPD 2; MOPD II; Osteodysplastic primordial dwarfism type 2;
509,Delayed gross motor development,same,MOPD 2; MOPD II; Osteodysplastic primordial dwarfism type 2;
510,Internal carotid artery hypoplasia,same,Prader-Willi syndrome due to a point mutation; PWS due to a point mutation; MAGEL2-related Prader-Willi-like syndrome;
511,Duane anomaly,same,Prader-Willi syndrome due to a point mutation; PWS due to a point mutation; MAGEL2-related Prader-Willi-like syndrome;
512,Horizontal supranuclear gaze palsy,same,Madura foot
513,Abnormality of epiphysis morphology,same,Madura foot
514,Abnormality of the metaphysis,same,MAD
515,Arthrogryposis multiplex congenita,same,Urticaria pigmentosa
516,Elevated aldolase level,same,"MCDCA; Maculopathy, bull's eye"
517,Elevated serum creatine kinase,same,Teebi Al-Saleh Hassoon syndrome; Macrosomia microphthalmia cleft palate
518,EMG abnormality,same,"McAlister Coe Whyte syndrome; Macroepiphyseal dysplasia, McAlister Coe type"
